2024-09-04	Seamless Group Inc., a Leading Global Fintech Platform, to Become Publicly Traded Via Combination with INFINT Acquisition Corporation
2024-08-20	Tranglo expands payment services to Georgia
2024-08-13	Tranglo launches payout services to CIS countries
2024-07-19	Remittance and Airtime services to Bangladesh disrupted
2024-05-01	Tranglo enables Ripple’s On-Demand Liquidity service across its 25 payment corridors
2024-04-08	Tranglo expands instant cross-border payments to over 30 eWallets
2024-03-30	Ripple Acquires 40% Stake in Asia’s Leading Cross-Border Payments Specialist Tranglo
2023-08-07	TNG Digital partners with Tranglo to expand remittance services
2023-08-03	Tranglo, Esewa Money Transfer to boost Nepal remittance
2023-05-29	Tranglo partners with Al Ansari, the biggest money services provider in UAE
2023-05-22	Tranglo and Lulu Money team up to boost cross-border payouts
2023-04-18	Tranglo hopes to kick financial inclusion into high gear with futsal sponsorship
2023-04-06	Tranglo launches instant SEPA payout to Europe
2022-11-17	Tranglo launches real-time payments to Malaysia
2022-08-05	Seamless Group Inc., to Become Publicly Traded Via Combination with INFINT Acquisition Corporation
2022-04-11	Tranglo launches all-in-one business payment solution
2021-12-13	UniTeller expands remittance services in 13 Asia Pacific markets through Tranglo partnership
2021-11-01	Tranglo opens payment route to Mongolia
2021-10-21	Ripple and Tranglo Singapore’s partnership scales to new heights in Asia Pacific
2021-08-09	Tranglo granted new payment functions by the Monetary Authority of Singapore
2021-05-03	Tranglo powers cross-border payments for Australian payments specialist, OmiPay
2021-02-10	Tranglo enters Africa, Latin America
